ts_event,price
2024-10-21 13:00:24.055121332+00:00,233.91
2024-10-21 13:00:32.311803698+00:00,233.89
2024-10-21 13:00:37.203589594+00:00,233.93
2024-10-21 13:00:37.403888415+00:00,233.9
2024-10-21 13:00:37.403900812+00:00,233.91
2024-10-21 13:00:37.663834055+00:00,233.92
2024-10-21 13:00:37.909519348+00:00,233.91
2024-10-21 13:00:39.919001937+00:00,233.9
2024-10-21 13:00:41.254543871+00:00,233.75
2024-10-21 13:00:41.254556294+00:00,233.74
2024-10-21 13:00:47.280596294+00:00,233.89
2024-10-21 13:00:47.280659810+00:00,233.9
2024-10-21 13:00:47.281137105+00:00,233.86
2024-10-21 13:00:47.281141058+00:00,233.86
2024-10-21 13:00:47.281338436+00:00,233.85
2024-10-21 13:00:47.281338436+00:00,233.85
2024-10-21 13:00:47.281338436+00:00,233.85
2024-10-21 13:00:47.281361951+00:00,233.87
2024-10-21 13:00:47.281390357+00:00,233.74
2024-10-21 13:00:47.281409424+00:00,233.87
2024-10-21 13:00:47.281544196+00:00,233.89
2024-10-21 13:00:47.281567592+00:00,233.85
2024-10-21 13:00:47.281567592+00:00,233.85
2024-10-21 13:00:47.281588001+00:00,233.88
2024-10-21 13:00:47.281592801+00:00,233.87
2024-10-21 13:00:47.281602730+00:00,233.88
2024-10-21 13:00:47.281718049+00:00,233.94
2024-10-21 13:00:47.281791800+00:00,233.89
2024-10-21 13:00:47.281884865+00:00,233.89
2024-10-21 13:00:47.283236429+00:00,233.9
2024-10-21 13:00:47.340772919+00:00,233.92
2024-10-21 13:00:47.350814208+00:00,233.74
2024-10-21 13:00:47.352683135+00:00,233.74
2024-10-21 13:00:47.381671412+00:00,233.87
2024-10-21 13:00:47.391389607+00:00,233.74
2024-10-21 13:00:47.540862619+00:00,233.89
2024-10-21 13:00:48.046853525+00:00,233.88
2024-10-21 13:00:48.046865874+00:00,233.89
2024-10-21 13:00:48.047217522+00:00,233.88
2024-10-21 13:00:48.057752746+00:00,233.51
2024-10-21 13:00:48.106791240+00:00,233.9
2024-10-21 13:00:48.270719410+00:00,233.5
2024-10-21 13:00:48.306982169+00:00,233.89
2024-10-21 13:00:49.286612720+00:00,233.88
2024-10-21 13:00:49.631471943+00:00,233.98
2024-10-21 13:00:49.661620967+00:00,233.74
2024-10-21 13:00:49.661634376+00:00,233.71
2024-10-21 13:00:49.664098756+00:00,233.88
2024-10-21 13:00:49.688039551+00:00,233.98
2024-10-21 13:00:49.688052684+00:00,233.97
2024-10-21 13:00:49.716064956+00:00,233.72
