,ts_event,price
645,2024-10-21 12:48:10+00:00,233.58
646,2024-10-21 12:48:15+00:00,233.88
647,2024-10-21 12:48:20+00:00,233.64
648,2024-10-21 12:48:25+00:00,233.66
649,2024-10-21 12:48:30+00:00,233.69
650,2024-10-21 12:48:35+00:00,233.92
651,2024-10-21 12:48:40+00:00,233.4
652,2024-10-21 12:48:45+00:00,233.92
653,2024-10-21 12:48:50+00:00,
654,2024-10-21 12:48:55+00:00,233.85
655,2024-10-21 12:49:00+00:00,233.69
656,2024-10-21 12:49:05+00:00,233.75
657,2024-10-21 12:49:10+00:00,233.7
658,2024-10-21 12:49:15+00:00,233.77
659,2024-10-21 12:49:20+00:00,233.78
660,2024-10-21 12:49:25+00:00,233.86
661,2024-10-21 12:49:30+00:00,233.79
662,2024-10-21 12:49:35+00:00,233.8
663,2024-10-21 12:49:40+00:00,233.71
664,2024-10-21 12:49:45+00:00,234.0
665,2024-10-21 12:49:50+00:00,
666,2024-10-21 12:49:55+00:00,233.82
667,2024-10-21 12:50:00+00:00,234.05
668,2024-10-21 12:50:05+00:00,234.03
669,2024-10-21 12:50:10+00:00,234.05
670,2024-10-21 12:50:15+00:00,234.02
671,2024-10-21 12:50:20+00:00,234.04
672,2024-10-21 12:50:25+00:00,233.81
673,2024-10-21 12:50:30+00:00,233.87
674,2024-10-21 12:50:35+00:00,234.03
675,2024-10-21 12:50:40+00:00,
676,2024-10-21 12:50:45+00:00,233.82
677,2024-10-21 12:50:50+00:00,233.88
678,2024-10-21 12:50:55+00:00,233.89
679,2024-10-21 12:51:00+00:00,233.76
680,2024-10-21 12:51:05+00:00,
681,2024-10-21 12:51:10+00:00,233.78
682,2024-10-21 12:51:15+00:00,233.82
683,2024-10-21 12:51:20+00:00,233.73
684,2024-10-21 12:51:25+00:00,233.81
685,2024-10-21 12:51:30+00:00,233.94
686,2024-10-21 12:51:35+00:00,233.82
687,2024-10-21 12:51:40+00:00,233.82
688,2024-10-21 12:51:45+00:00,233.93
689,2024-10-21 12:51:50+00:00,233.78
690,2024-10-21 12:51:55+00:00,233.73
691,2024-10-21 12:52:00+00:00,233.94
692,2024-10-21 12:52:05+00:00,233.98
693,2024-10-21 12:52:10+00:00,233.78
694,2024-10-21 12:52:15+00:00,233.7
695,2024-10-21 12:52:20+00:00,233.77
696,2024-10-21 12:52:25+00:00,233.97
697,2024-10-21 12:52:30+00:00,233.94
698,2024-10-21 12:52:35+00:00,
699,2024-10-21 12:52:40+00:00,233.71
700,2024-10-21 12:52:45+00:00,
701,2024-10-21 12:52:50+00:00,233.81
702,2024-10-21 12:52:55+00:00,233.99
703,2024-10-21 12:53:00+00:00,233.98
704,2024-10-21 12:53:05+00:00,
705,2024-10-21 12:53:10+00:00,233.99
706,2024-10-21 12:53:15+00:00,
707,2024-10-21 12:53:20+00:00,
708,2024-10-21 12:53:25+00:00,233.98
709,2024-10-21 12:53:30+00:00,
710,2024-10-21 12:53:35+00:00,233.72
711,2024-10-21 12:53:40+00:00,233.9
712,2024-10-21 12:53:45+00:00,
713,2024-10-21 12:53:50+00:00,
714,2024-10-21 12:53:55+00:00,233.71
715,2024-10-21 12:54:00+00:00,233.71
716,2024-10-21 12:54:05+00:00,233.8
717,2024-10-21 12:54:10+00:00,
718,2024-10-21 12:54:15+00:00,233.93
719,2024-10-21 12:54:20+00:00,233.85
720,2024-10-21 12:54:25+00:00,233.98
721,2024-10-21 12:54:30+00:00,233.93
722,2024-10-21 12:54:35+00:00,
723,2024-10-21 12:54:40+00:00,233.93
724,2024-10-21 12:54:45+00:00,
725,2024-10-21 12:54:50+00:00,
726,2024-10-21 12:54:55+00:00,233.81
727,2024-10-21 12:55:00+00:00,233.78
728,2024-10-21 12:55:05+00:00,233.97
729,2024-10-21 12:55:10+00:00,233.74
730,2024-10-21 12:55:15+00:00,233.7
731,2024-10-21 12:55:20+00:00,233.76
732,2024-10-21 12:55:25+00:00,233.99
733,2024-10-21 12:55:30+00:00,
734,2024-10-21 12:55:35+00:00,234.0
735,2024-10-21 12:55:40+00:00,233.75
736,2024-10-21 12:55:45+00:00,233.98
737,2024-10-21 12:55:50+00:00,233.92
738,2024-10-21 12:55:55+00:00,
739,2024-10-21 12:56:00+00:00,233.96
740,2024-10-21 12:56:05+00:00,233.77
741,2024-10-21 12:56:10+00:00,
742,2024-10-21 12:56:15+00:00,
743,2024-10-21 12:56:20+00:00,233.86
744,2024-10-21 12:56:25+00:00,233.76
745,2024-10-21 12:56:30+00:00,
746,2024-10-21 12:56:35+00:00,
747,2024-10-21 12:56:40+00:00,233.76
748,2024-10-21 12:56:45+00:00,233.71
749,2024-10-21 12:56:50+00:00,233.72
750,2024-10-21 12:56:55+00:00,233.72
751,2024-10-21 12:57:00+00:00,233.8
752,2024-10-21 12:57:05+00:00,233.6
753,2024-10-21 12:57:10+00:00,233.72
754,2024-10-21 12:57:15+00:00,233.89
755,2024-10-21 12:57:20+00:00,
756,2024-10-21 12:57:25+00:00,233.7
757,2024-10-21 12:57:30+00:00,233.71
758,2024-10-21 12:57:35+00:00,233.71
759,2024-10-21 12:57:40+00:00,233.76
760,2024-10-21 12:57:45+00:00,233.72
761,2024-10-21 12:57:50+00:00,
762,2024-10-21 12:57:55+00:00,
763,2024-10-21 12:58:00+00:00,233.9
764,2024-10-21 12:58:05+00:00,233.9
765,2024-10-21 12:58:10+00:00,233.74
766,2024-10-21 12:58:15+00:00,233.98
767,2024-10-21 12:58:20+00:00,233.75
768,2024-10-21 12:58:25+00:00,233.75
769,2024-10-21 12:58:30+00:00,
770,2024-10-21 12:58:35+00:00,233.99
771,2024-10-21 12:58:40+00:00,233.79
772,2024-10-21 12:58:45+00:00,
773,2024-10-21 12:58:50+00:00,233.78
774,2024-10-21 12:58:55+00:00,233.93
775,2024-10-21 12:59:00+00:00,233.85
776,2024-10-21 12:59:05+00:00,
777,2024-10-21 12:59:10+00:00,
