ts_event,best_level_ofi
2024-10-21 12:13:46.073137112,-1173.0
2024-10-21 12:13:46.123324204,200.0
2024-10-21 12:13:46.134353286,1227.0
2024-10-21 12:13:46.134366429,-1146.0
2024-10-21 12:13:46.134809159,1400.0
2024-10-21 12:13:47.415362307,-800.0
2024-10-21 12:13:48.136368928,600.0
2024-10-21 12:13:48.136382005,-400.0
2024-10-21 12:13:54.483288659,0.0
2024-10-21 12:13:54.519759447,400.0
2024-10-21 12:13:54.519772638,-400.0
2024-10-21 12:13:55.034111535,400.0
2024-10-21 12:13:55.034202690,-400.0
2024-10-21 12:13:56.094538941,827.0
2024-10-21 12:13:56.094551306,-546.0
2024-10-21 12:13:56.154206963,0.0
2024-10-21 12:13:56.211718188,346.0
2024-10-21 12:13:56.211731379,-346.0
2024-10-21 12:14:01.070964390,346.0
2024-10-21 12:14:01.071015450,-346.0
2024-10-21 12:14:01.088137086,373.0
2024-10-21 12:14:06.103454338,-795.0
2024-10-21 12:14:07.746740079,790.0
2024-10-21 12:14:07.746754069,-790.0
2024-10-21 12:14:10.801342166,0.0
2024-10-21 12:14:17.947438449,0.0
2024-10-21 12:14:17.957382887,790.0
2024-10-21 12:14:17.957395933,-790.0
2024-10-21 12:14:17.957453277,790.0
2024-10-21 12:14:17.957465815,-790.0
2024-10-21 12:14:18.056884935,0.0
2024-10-21 12:14:21.022254267,0.0
2024-10-21 12:14:21.336689135,790.0
2024-10-21 12:14:21.336700928,-790.0
2024-10-21 12:14:21.392627701,0.0
2024-10-21 12:14:21.426981432,790.0
2024-10-21 12:14:21.740586460,-790.0
2024-10-21 12:14:21.740617322,0.0
2024-10-21 12:14:28.747219089,0.0
2024-10-21 12:14:37.348164372,790.0
2024-10-21 12:14:37.348177626,-790.0
2024-10-21 12:14:37.485431160,0.0
2024-10-21 12:14:41.549166803,790.0
2024-10-21 12:14:41.549212050,-790.0
2024-10-21 12:14:41.599590898,0.0
2024-10-21 12:14:43.205958056,0.0
2024-10-21 12:14:49.824694031,0.0
2024-10-21 12:14:52.413893215,790.0
2024-10-21 12:14:52.413904869,-790.0
2024-10-21 12:14:52.473339217,790.0
2024-10-21 12:14:52.473352225,-790.0
2024-10-21 12:14:52.474399706,790.0
2024-10-21 12:14:52.474453011,-790.0
2024-10-21 12:14:53.024665699,0.0
2024-10-21 12:14:59.069065580,0.0
2024-10-21 12:15:05.174000161,790.0
2024-10-21 12:15:05.174010189,0.0
2024-10-21 12:15:05.174024191,-790.0
2024-10-21 12:15:08.174665588,0.0
2024-10-21 12:15:12.192615974,100.0
2024-10-21 12:15:12.193015032,390.0
2024-10-21 12:15:12.197769369,158.0
2024-10-21 12:15:12.197802997,286.0
2024-10-21 12:15:12.201874823,400.0
2024-10-21 12:15:12.264450843,-790.0
2024-10-21 12:15:12.264477828,790.0
2024-10-21 12:15:12.268335051,-790.0
2024-10-21 12:15:12.268635983,790.0
2024-10-21 12:15:12.270227323,0.0
2024-10-21 12:15:12.270326143,37.0
2024-10-21 12:15:12.270365637,0.0
2024-10-21 12:15:12.318866641,0.0
2024-10-21 12:15:12.318878820,44.0
2024-10-21 12:15:12.318890689,-44.0
2024-10-21 12:15:12.327814809,200.0
2024-10-21 12:15:12.391011950,390.0
2024-10-21 12:15:12.404688523,-390.0
2024-10-21 12:15:12.446815675,0.0
2024-10-21 12:15:12.518757844,0.0
2024-10-21 12:15:12.518889885,390.0
2024-10-21 12:15:12.518901713,410.0
2024-10-21 12:15:12.521642022,590.0
2024-10-21 12:15:12.529592990,0.0
2024-10-21 12:15:12.529605412,-390.0
2024-10-21 12:15:12.575103526,0.0
2024-10-21 12:15:12.619373396,390.0
2024-10-21 12:15:12.619385902,-790.0
2024-10-21 12:15:12.655937741,790.0
2024-10-21 12:15:12.669684284,-790.0
2024-10-21 12:15:13.051576352,0.0
2024-10-21 12:15:13.051605161,0.0
2024-10-21 12:15:13.945967888,0.0
2024-10-21 12:15:13.946489728,790.0
2024-10-21 12:15:13.946532120,-790.0
2024-10-21 12:15:14.001009338,790.0
2024-10-21 12:15:14.001022189,410.0
2024-10-21 12:15:14.207183672,0.0
2024-10-21 12:15:14.207479344,790.0
2024-10-21 12:15:14.278377067,-200.0
2024-10-21 12:15:14.278559734,400.0
2024-10-21 12:15:14.278572418,-790.0
2024-10-21 12:15:14.278970387,790.0
2024-10-21 12:15:14.280591359,-790.0
2024-10-21 12:15:15.248901194,790.0
2024-10-21 12:15:15.248912868,-790.0
2024-10-21 12:15:17.923034484,0.0
2024-10-21 12:15:24.014190176,790.0
2024-10-21 12:15:24.014202142,-790.0
2024-10-21 12:15:24.014850794,790.0
2024-10-21 12:15:24.014897264,-790.0
2024-10-21 12:15:24.015005588,790.0
2024-10-21 12:15:24.015059897,-790.0
2024-10-21 12:15:24.066509814,200.0
2024-10-21 12:15:27.519238798,390.0
2024-10-21 12:15:27.519251700,-390.0
2024-10-21 12:15:29.175215826,95.0
2024-10-21 12:15:29.175239385,0.0
2024-10-21 12:15:29.175244705,0.0
2024-10-21 12:15:29.175252395,0.0
2024-10-21 12:15:29.175261243,3.0
2024-10-21 12:15:29.175265540,184.0
